Respondent ID,Age Group,Education,Income Bracket,Living Area,Prior ADR Exposure,Tech Familiarity (1-5),General ADR Attitude (1-5),Privacy Concerns,Safety Concerns,Job Displacement,Public Space Impact,Reliability Concerns
261,18-30,Bachelor's,60k-100k,Suburban,Interacted,4.7,3.6,4.7,2.6,3.9,2.8,2.3
262,18-30,Bachelor's,30k-60k,Suburban,Seen,3.2,3.6,3.9,3.5,3.3,3.1,3.3
263,18-30,High School,60k-100k,Urban,None,3.9,2.6,4.0,3.1,3.7,3.0,2.7
264,18-30,Graduate Degree,100k-150k,Urban,Seen,4.4,3.9,4.8,3.3,4.1,3.0,2.2
265,18-30,Graduate Degree,>150k,Urban,Seen,4.3,3.0,4.2,2.8,4.5,2.5,2.1
266,18-30,High School,100k-150k,Suburban,Interacted,4.0,4.3,4.5,3.3,4.4,3.8,3.5
267,18-30,Bachelor's,>150k,Suburban,None,3.9,3.2,5.0,2.9,3.2,2.5,3.4
268,18-30,Some College,30k-60k,Rural,Seen,5.0,3.5,4.5,3.4,4.3,2.5,3.1
269,18-30,Bachelor's,30k-60k,Rural,Seen,4.5,3.9,4.2,2.5,4.5,3.3,2.3
270,18-30,Bachelor's,<30k,Suburban,Interacted,5.0,4.5,3.7,4.1,3.6,2.6,3.2
271,18-30,Bachelor's,100k-150k,Rural,None,4.2,3.4,3.7,4.6,3.3,2.6,2.2
272,18-30,Bachelor's,30k-60k,Urban,Interacted,2.9,3.8,4.6,3.1,3.7,2.9,2.6
273,18-30,Graduate Degree,100k-150k,Urban,Seen,3.7,3.3,3.8,3.6,4.0,2.8,3.6
274,18-30,High School,>150k,Suburban,Seen,3.4,3.2,4.0,3.0,3.5,2.7,2.2
275,18-30,High School,<30k,Rural,Seen,3.2,3.1,3.3,2.9,3.6,3.3,2.5
276,18-30,Some College,60k-100k,Urban,Seen,3.8,3.0,3.9,3.4,3.6,2.6,2.5
277,18-30,Some College,60k-100k,Suburban,Seen,4.4,3.2,4.3,2.6,3.3,2.8,2.3
278,18-30,Some College,30k-60k,Suburban,Interacted,5.0,4.5,4.2,3.0,3.6,3.7,2.8
279,18-30,Bachelor's,100k-150k,Urban,Seen,3.7,1.8,4.8,3.2,3.3,2.6,3.9
280,18-30,Bachelor's,30k-60k,Suburban,Interacted,3.6,3.5,3.5,2.2,3.4,3.6,2.9
281,18-30,Graduate Degree,<30k,Suburban,Seen,4.5,3.2,4.0,4.4,3.3,3.1,2.0
282,18-30,Bachelor's,<30k,Urban,Interacted,2.9,3.6,4.4,2.8,3.6,2.5,3.4
283,18-30,Some College,100k-150k,Urban,Seen,3.0,2.9,4.3,2.7,4.1,3.0,3.3
284,18-30,Graduate Degree,30k-60k,Urban,Seen,2.1,2.6,3.9,3.4,4.5,2.5,3.2
285,18-30,High School,30k-60k,Rural,Seen,3.6,3.4,3.9,2.7,3.9,3.2,3.8
286,18-30,Some College,60k-100k,Rural,Seen,3.9,2.4,3.6,2.8,4.6,2.6,3.2
287,18-30,Bachelor's,>150k,Suburban,Interacted,3.6,2.9,3.9,3.1,3.9,2.5,3.6
288,18-30,High School,60k-100k,Urban,None,3.4,3.8,4.0,2.3,4.3,2.6,2.4
289,18-30,Bachelor's,<30k,Suburban,None,3.7,4.0,4.6,2.5,4.3,2.9,2.7
290,18-30,High School,30k-60k,Urban,Interacted,5.0,4.6,4.3,3.1,4.0,2.7,3.1
291,18-30,Some College,100k-150k,Rural,None,4.6,2.9,4.4,3.4,3.4,2.3,3.5
292,18-30,High School,30k-60k,Urban,None,4.1,2.7,3.6,3.6,3.7,3.1,2.9
293,18-30,High School,>150k,Urban,Seen,4.5,4.1,3.4,3.1,4.9,2.6,3.4
294,18-30,Bachelor's,100k-150k,Urban,Interacted,4.7,3.5,4.3,2.6,4.8,3.3,2.9
295,18-30,Some College,<30k,Urban,Seen,2.3,3.4,3.8,2.2,4.0,3.7,3.0
296,18-30,Some College,<30k,Urban,Interacted,4.2,4.0,3.4,3.6,4.0,3.4,2.6
297,18-30,Bachelor's,60k-100k,Suburban,Interacted,3.1,3.0,4.1,3.5,4.1,3.1,3.1
298,18-30,Graduate Degree,30k-60k,Urban,None,3.0,3.1,4.2,3.9,4.2,2.8,2.9
299,18-30,High School,60k-100k,Urban,Interacted,3.6,2.9,4.2,3.3,3.7,2.7,3.1
300,18-30,Bachelor's,30k-60k,Suburban,Seen,2.8,2.4,4.1,3.6,3.7,2.8,3.7
301,18-30,Bachelor's,30k-60k,Urban,Interacted,2.8,3.7,4.2,2.7,4.5,2.8,2.7
302,18-30,Some College,30k-60k,Urban,Interacted,1.8,2.8,4.4,3.2,4.1,2.5,3.0
303,18-30,High School,60k-100k,Rural,Seen,3.1,3.3,5.0,3.3,3.8,2.4,3.1
304,18-30,High School,30k-60k,Suburban,None,2.7,2.6,4.4,3.7,3.7,3.0,3.6
305,18-30,High School,30k-60k,Urban,Interacted,3.5,3.1,4.8,3.7,3.8,2.5,2.8
306,18-30,Graduate Degree,60k-100k,Urban,None,2.8,3.8,4.1,4.0,3.9,2.9,3.3
307,18-30,Bachelor's,60k-100k,Suburban,Interacted,4.8,3.9,5.0,2.8,3.8,2.9,3.1
308,18-30,Some College,>150k,Urban,Interacted,2.3,3.7,4.8,3.1,4.5,1.8,3.1
309,18-30,High School,30k-60k,Urban,Interacted,3.4,3.7,5.0,2.8,4.6,2.2,3.7
310,18-30,Bachelor's,60k-100k,Urban,Interacted,2.9,3.3,4.0,2.5,4.2,3.0,2.1
311,18-30,High School,30k-60k,Suburban,Interacted,3.4,3.3,3.8,3.0,3.3,3.0,2.8
312,18-30,High School,60k-100k,Urban,Interacted,2.4,4.1,4.1,3.1,3.7,2.8,3.0
313,18-30,Graduate Degree,60k-100k,Urban,Seen,3.9,4.1,3.7,3.6,3.8,3.2,2.7
314,18-30,Bachelor's,30k-60k,Urban,Interacted,1.5,2.9,4.1,3.0,3.5,3.2,2.8
315,18-30,Some College,30k-60k,Suburban,None,3.7,2.8,4.3,2.5,4.2,3.2,2.9
316,18-30,Some College,60k-100k,Urban,Seen,2.7,3.5,3.5,3.1,3.7,2.3,3.3
317,18-30,Graduate Degree,100k-150k,Urban,Seen,4.6,3.5,4.0,2.4,4.3,2.2,3.3
318,18-30,High School,60k-100k,Urban,Seen,3.5,3.7,4.8,2.5,4.3,3.2,3.9
319,18-30,Some College,60k-100k,Urban,Seen,4.2,4.3,3.3,2.7,4.5,2.9,3.5
320,18-30,High School,100k-150k,Urban,Seen,4.5,3.9,4.3,2.6,3.6,2.4,3.4
321,18-30,Some College,60k-100k,Suburban,Interacted,3.2,3.9,5.0,3.6,3.0,3.7,3.5
322,18-30,High School,60k-100k,Suburban,Interacted,4.4,3.9,3.7,3.2,3.4,2.4,3.6
323,18-30,Some College,30k-60k,Urban,None,2.0,2.4,4.1,2.9,3.9,2.7,3.7
324,18-30,Bachelor's,>150k,Urban,None,2.5,3.4,3.8,3.2,4.4,2.8,4.4
325,18-30,Graduate Degree,30k-60k,Urban,None,3.9,3.9,3.7,3.6,4.9,2.9,3.1
326,18-30,Graduate Degree,30k-60k,Urban,Interacted,3.6,3.7,4.8,2.7,3.5,3.4,3.7
327,18-30,Bachelor's,30k-60k,Suburban,Seen,3.3,3.1,3.2,3.5,3.5,2.9,3.8
328,18-30,High School,60k-100k,Urban,Interacted,3.1,3.5,4.3,3.7,4.0,2.8,3.3
329,18-30,Some College,30k-60k,Suburban,None,4.0,3.8,3.5,2.8,3.8,2.5,3.0
330,18-30,Graduate Degree,60k-100k,Suburban,None,2.9,3.5,4.2,2.5,3.4,3.6,2.5
331,18-30,High School,60k-100k,Urban,Interacted,4.7,4.4,5.0,3.5,4.4,3.2,3.0
332,18-30,High School,<30k,Urban,Interacted,3.8,3.2,4.9,4.1,3.4,2.6,3.2
333,18-30,Bachelor's,60k-100k,Urban,Seen,3.8,3.0,4.8,4.2,4.2,2.2,4.0
334,18-30,Bachelor's,100k-150k,Suburban,Seen,2.7,3.0,3.7,3.9,4.2,3.5,2.3
335,18-30,Bachelor's,60k-100k,Urban,None,2.9,3.7,4.0,3.0,4.3,3.3,3.6
336,18-30,Some College,30k-60k,Rural,Interacted,3.3,3.5,3.9,2.8,3.7,3.0,3.0
337,18-30,Some College,60k-100k,Urban,Seen,4.6,4.5,3.2,2.8,3.4,2.7,2.9
338,18-30,Some College,60k-100k,Urban,Seen,5.0,4.7,3.6,3.3,4.0,2.8,2.4
339,18-30,Some College,30k-60k,Urban,None,3.3,3.6,3.6,2.9,3.5,3.1,3.0
340,18-30,Bachelor's,30k-60k,Suburban,Interacted,2.5,3.0,4.3,2.7,3.9,3.2,3.1
341,18-30,High School,<30k,Urban,None,3.1,3.6,3.8,3.2,4.5,3.0,3.0
342,18-30,Bachelor's,30k-60k,Rural,Seen,3.6,4.4,4.4,3.3,2.6,3.1,3.1
343,18-30,Bachelor's,>150k,Urban,Seen,5.0,3.9,3.9,3.5,3.8,2.3,2.4
344,18-30,Graduate Degree,30k-60k,Urban,Interacted,2.4,3.8,3.9,2.8,3.9,3.0,3.2
345,18-30,Bachelor's,60k-100k,Suburban,Interacted,4.3,3.2,4.8,3.4,3.1,3.7,3.0
346,18-30,Bachelor's,60k-100k,Urban,Seen,4.4,3.0,4.5,3.2,3.6,2.9,3.8
347,18-30,High School,30k-60k,Urban,Interacted,1.8,2.0,3.9,2.8,3.6,2.7,3.1
348,18-30,Bachelor's,<30k,Suburban,None,3.9,2.6,4.0,3.9,4.8,2.9,3.5
349,18-30,Bachelor's,<30k,Rural,Seen,3.9,3.3,4.0,3.5,3.1,2.9,3.2
350,18-30,Bachelor's,<30k,Urban,None,3.5,3.1,3.7,3.7,4.6,2.6,1.7
351,18-30,Some College,<30k,Urban,Seen,3.3,3.6,4.3,3.4,3.4,3.4,2.3
352,18-30,Some College,30k-60k,Rural,Seen,3.8,3.5,4.7,3.0,3.7,3.4,2.7
353,18-30,High School,30k-60k,Urban,Interacted,4.0,4.0,3.9,3.6,3.6,3.6,3.6
354,18-30,High School,60k-100k,Urban,None,3.0,3.8,4.3,3.7,2.8,3.1,1.8
355,18-30,High School,<30k,Rural,Seen,2.4,2.4,4.9,2.5,2.6,2.5,3.6
356,18-30,Some College,60k-100k,Suburban,Seen,4.1,4.2,4.3,3.4,3.5,2.8,2.9
357,18-30,Some College,60k-100k,Suburban,Interacted,3.3,4.5,4.5,3.5,3.8,4.0,2.8
358,18-30,Some College,30k-60k,Urban,Interacted,3.7,3.1,3.5,2.2,3.9,3.1,3.1
359,18-30,High School,60k-100k,Suburban,None,3.9,3.9,4.5,1.8,3.9,2.8,3.5
360,18-30,Some College,60k-100k,Rural,Seen,3.1,2.7,4.4,2.5,4.0,2.4,2.7
361,18-30,Bachelor's,60k-100k,Urban,Seen,2.5,3.7,3.8,3.2,3.2,2.8,2.6
362,18-30,Bachelor's,>150k,Urban,Interacted,3.0,4.0,4.8,4.3,3.2,3.4,3.6
363,18-30,Graduate Degree,<30k,Urban,Seen,4.7,3.1,4.1,3.3,3.7,2.6,3.0
364,18-30,Bachelor's,100k-150k,Urban,Seen,3.7,3.6,4.6,2.4,3.7,2.8,3.1
365,18-30,Bachelor's,100k-150k,Suburban,None,5.0,3.6,4.2,3.3,4.1,2.4,3.3
366,18-30,Some College,30k-60k,Suburban,None,4.3,3.1,3.5,2.7,4.3,2.0,2.7
367,18-30,Graduate Degree,30k-60k,Suburban,Interacted,3.4,4.1,3.4,2.5,3.9,2.4,2.9
368,18-30,Graduate Degree,30k-60k,Suburban,Seen,3.9,3.7,3.9,3.3,4.2,3.0,2.6
369,18-30,Some College,60k-100k,Suburban,Seen,4.1,4.1,3.7,3.1,4.4,2.5,2.9
370,18-30,Bachelor's,>150k,Urban,Seen,3.7,3.5,4.6,3.6,4.3,2.2,3.4
371,18-30,High School,60k-100k,Suburban,Seen,4.0,3.5,4.0,3.6,4.1,2.6,2.3
372,18-30,Bachelor's,30k-60k,Suburban,None,4.5,3.3,5.0,3.4,4.3,3.4,3.5
373,18-30,Bachelor's,<30k,Urban,Interacted,3.2,3.1,4.2,3.2,3.2,3.2,3.5
374,18-30,High School,60k-100k,Rural,None,4.6,3.4,4.0,2.4,3.2,2.9,1.9
375,18-30,Some College,60k-100k,Urban,None,3.5,3.4,4.3,2.8,3.1,3.7,3.7
376,18-30,Bachelor's,30k-60k,Suburban,Seen,4.4,3.6,4.0,3.5,3.5,1.8,3.1
377,18-30,Some College,<30k,Urban,None,3.6,3.1,3.5,2.9,4.1,3.1,3.1
378,18-30,High School,60k-100k,Urban,Interacted,4.8,3.8,4.6,3.8,3.2,2.5,3.2
379,18-30,Some College,30k-60k,Suburban,None,4.0,3.4,4.8,3.1,3.8,3.6,3.0
380,18-30,Graduate Degree,100k-150k,Urban,None,4.6,3.2,3.4,2.6,4.6,3.1,2.7
381,18-30,High School,30k-60k,Urban,Interacted,3.6,3.7,4.3,2.4,3.6,2.0,3.5
382,18-30,Some College,<30k,Rural,Seen,4.2,3.3,4.7,3.0,3.7,2.3,2.4
383,18-30,High School,60k-100k,Urban,None,4.0,4.1,4.4,2.9,3.5,2.8,2.9
384,18-30,Graduate Degree,>150k,Suburban,Interacted,2.7,2.6,4.2,3.0,4.0,2.3,2.5
385,18-30,Some College,<30k,Suburban,None,4.8,3.6,3.9,2.7,4.6,2.8,3.4
386,18-30,High School,30k-60k,Urban,Interacted,3.5,3.8,3.6,2.9,3.8,2.6,2.4
387,18-30,Graduate Degree,30k-60k,Suburban,None,4.5,2.8,4.8,2.4,3.7,2.6,3.1
388,18-30,Bachelor's,30k-60k,Urban,None,3.3,2.7,3.6,3.7,4.1,2.3,2.8
389,18-30,Some College,60k-100k,Suburban,None,3.7,3.0,3.7,3.8,3.7,3.1,3.7
390,18-30,Bachelor's,<30k,Suburban,None,3.2,3.0,4.6,2.9,3.8,2.1,3.3
391,18-30,High School,30k-60k,Urban,Seen,3.2,3.7,3.7,3.1,4.1,2.7,3.3
392,18-30,Bachelor's,60k-100k,Urban,None,4.6,3.6,4.3,2.6,3.2,2.4,3.6
393,18-30,High School,30k-60k,Suburban,None,3.7,2.9,4.6,2.7,3.8,3.2,3.1
394,18-30,Some College,>150k,Suburban,Interacted,3.5,4.1,2.8,3.4,4.2,2.4,2.0
395,18-30,Bachelor's,>150k,Suburban,None,3.3,2.8,4.6,3.4,3.7,3.3,2.9
396,18-30,Bachelor's,30k-60k,Suburban,Seen,4.6,3.3,5.0,3.4,3.5,2.1,3.1
397,18-30,Some College,30k-60k,Rural,None,4.5,2.9,3.8,1.8,3.9,3.3,2.5
398,18-30,High School,<30k,Urban,None,4.3,4.2,4.1,3.6,4.1,2.2,3.1
399,18-30,Bachelor's,100k-150k,Rural,Interacted,3.4,2.8,3.3,3.5,3.6,2.9,3.5
400,18-30,Some College,100k-150k,Urban,Seen,4.2,3.1,5.0,3.4,4.1,2.7,2.4
401,18-30,Some College,60k-100k,Urban,Interacted,3.7,3.9,4.5,2.2,4.1,3.2,3.3
402,18-30,Some College,30k-60k,Urban,Seen,5.0,4.4,4.3,2.8,4.1,3.0,2.1
403,18-30,High School,30k-60k,Suburban,Interacted,5.0,4.0,4.2,3.2,3.3,3.0,3.6
404,18-30,Some College,30k-60k,Suburban,Seen,2.4,2.8,5.0,3.4,3.6,3.8,2.6
405,18-30,Bachelor's,30k-60k,Rural,None,3.4,3.4,4.2,3.5,4.5,2.4,3.0
406,18-30,High School,60k-100k,Suburban,Seen,2.7,3.4,4.1,2.7,3.9,2.8,3.2
407,18-30,Some College,30k-60k,Urban,Interacted,3.3,4.2,3.8,2.8,4.7,2.8,3.1
408,18-30,Some College,30k-60k,Urban,None,3.3,2.9,4.1,4.2,3.2,1.9,3.4
409,18-30,Some College,<30k,Suburban,Interacted,5.0,4.9,4.3,3.6,3.4,3.3,2.6
410,18-30,Some College,30k-60k,Rural,Interacted,2.5,3.5,4.1,3.1,3.6,2.9,3.4
411,18-30,Some College,100k-150k,Suburban,Seen,3.4,3.4,3.7,3.1,4.6,2.0,3.1
412,18-30,High School,60k-100k,Suburban,Seen,3.0,3.4,4.6,3.6,3.8,3.2,3.1
413,18-30,Some College,30k-60k,Rural,Interacted,5.0,4.4,4.6,3.7,3.4,2.5,2.9
414,18-30,High School,30k-60k,Suburban,None,5.0,2.6,3.5,2.9,3.7,3.1,2.7
415,18-30,High School,<30k,Urban,Seen,4.4,3.5,4.2,3.1,3.9,2.4,2.9
416,18-30,Graduate Degree,100k-150k,Rural,Seen,4.8,3.2,4.3,2.6,4.6,2.7,3.1
417,18-30,Bachelor's,>150k,Urban,Seen,2.9,3.8,4.5,3.5,3.8,2.5,2.5
418,18-30,Some College,100k-150k,Urban,Seen,5.0,3.6,4.0,3.7,3.5,3.6,2.2
419,18-30,High School,<30k,Urban,Interacted,3.3,4.4,3.6,3.1,3.3,2.0,3.1
420,18-30,Some College,60k-100k,Urban,None,3.7,3.0,4.7,3.0,3.9,3.3,3.6
421,18-30,Graduate Degree,30k-60k,Suburban,None,4.7,2.3,4.3,3.3,4.6,3.0,2.9
422,18-30,Graduate Degree,60k-100k,Urban,Seen,4.6,3.6,3.9,3.1,4.5,2.8,2.6
423,18-30,High School,100k-150k,Suburban,None,3.3,2.9,3.3,3.2,4.5,2.8,2.5
424,18-30,Bachelor's,30k-60k,Urban,None,3.8,3.4,3.8,2.9,3.4,2.7,3.2
425,18-30,High School,100k-150k,Suburban,Seen,5.0,3.7,3.7,3.6,3.9,2.2,2.3
426,18-30,Some College,30k-60k,Urban,Seen,4.0,3.0,4.7,3.6,3.1,1.3,3.3
427,18-30,Some College,30k-60k,Urban,Seen,3.9,3.2,3.8,3.2,3.8,2.2,2.1
428,18-30,Some College,>150k,Rural,Interacted,5.0,3.9,4.1,3.5,3.0,2.8,3.3
429,18-30,Bachelor's,>150k,Urban,Seen,3.8,3.6,5.0,4.2,3.3,2.6,4.3
430,18-30,Bachelor's,60k-100k,Rural,Seen,2.5,2.5,3.4,2.3,4.6,2.5,3.3
431,18-30,Some College,100k-150k,Suburban,Seen,3.2,2.4,4.4,3.8,4.4,2.5,2.6
432,18-30,High School,60k-100k,Suburban,None,4.0,2.7,4.2,3.3,3.9,3.3,3.1
433,18-30,Graduate Degree,60k-100k,Suburban,Interacted,4.2,3.5,3.8,3.0,2.8,2.3,2.8
434,18-30,Graduate Degree,>150k,Urban,Interacted,3.7,3.4,3.6,3.2,2.9,2.2,3.5
435,18-30,Some College,30k-60k,Suburban,Seen,3.8,3.8,3.7,2.8,3.2,1.7,3.1
436,18-30,Bachelor's,60k-100k,Urban,Interacted,4.2,3.6,3.6,2.9,4.0,3.6,3.3
437,18-30,High School,100k-150k,Suburban,Interacted,5.0,3.9,4.0,2.9,3.6,2.2,3.4
438,18-30,High School,30k-60k,Urban,None,3.3,3.5,3.9,2.6,4.3,2.1,2.2
439,18-30,High School,30k-60k,Urban,Seen,3.0,3.0,5.0,3.1,4.0,2.9,3.7
440,18-30,Bachelor's,<30k,Urban,None,3.3,3.5,4.1,3.7,3.4,2.4,3.5
441,18-30,Some College,60k-100k,Suburban,Seen,2.4,3.4,4.7,3.9,4.1,3.6,2.9
442,18-30,Graduate Degree,60k-100k,Suburban,Seen,3.0,2.9,3.3,2.8,3.9,2.8,2.2
443,18-30,Some College,30k-60k,Urban,Seen,4.3,3.4,3.7,3.0,3.6,3.0,3.3
444,18-30,Bachelor's,100k-150k,Suburban,None,3.3,3.2,4.3,2.8,4.9,2.5,3.0
445,18-30,Some College,30k-60k,Suburban,Seen,4.6,3.2,4.4,2.7,3.6,3.0,3.0
446,18-30,Bachelor's,100k-150k,Suburban,Seen,3.3,2.6,4.2,2.8,4.0,2.5,2.8
447,18-30,Graduate Degree,60k-100k,Suburban,Seen,4.8,3.9,3.9,3.3,3.4,3.3,2.3
448,18-30,High School,60k-100k,Suburban,None,3.7,3.6,4.1,3.3,4.4,2.4,3.2
449,18-30,High School,30k-60k,Suburban,Interacted,3.8,3.0,4.0,4.0,3.8,2.5,3.4
450,18-30,Some College,<30k,Rural,None,4.8,4.0,4.7,2.9,2.8,3.5,2.5
451,18-30,Some College,30k-60k,Urban,Interacted,4.6,3.6,4.0,3.2,4.4,2.9,2.9
452,18-30,Bachelor's,100k-150k,Urban,None,2.7,3.0,4.2,3.7,3.8,2.6,3.3
453,18-30,High School,>150k,Suburban,None,3.5,2.5,4.1,3.7,4.2,1.8,3.1
454,18-30,High School,<30k,Urban,Interacted,2.9,2.8,4.4,3.7,4.0,3.4,3.1
455,18-30,Bachelor's,30k-60k,Urban,Interacted,4.3,3.5,4.6,3.8,4.7,3.1,2.5
456,18-30,High School,60k-100k,Suburban,Seen,4.8,4.0,4.0,3.2,4.1,3.0,3.6
457,18-30,Bachelor's,100k-150k,Urban,Seen,3.7,3.5,4.5,3.3,4.3,2.1,3.1
458,18-30,High School,60k-100k,Urban,Seen,4.5,3.7,4.0,3.1,3.1,3.0,2.7
459,18-30,High School,60k-100k,Urban,Seen,2.3,3.1,4.4,2.7,4.6,3.1,2.7
460,18-30,Some College,30k-60k,Urban,None,4.4,3.5,4.2,2.3,4.1,2.7,3.2
461,18-30,High School,>150k,Suburban,Seen,3.6,4.1,4.3,3.3,3.4,2.5,2.7
462,18-30,High School,<30k,Suburban,Seen,4.7,4.3,4.0,2.9,4.4,3.0,4.0
463,18-30,Bachelor's,30k-60k,Urban,Interacted,4.8,3.5,4.7,3.0,4.5,2.9,3.5
464,18-30,Bachelor's,<30k,Suburban,Interacted,2.3,3.0,4.6,3.0,4.3,2.3,4.0
465,18-30,Bachelor's,>150k,Rural,Interacted,3.6,3.8,4.3,3.0,3.5,3.2,2.9
466,18-30,Bachelor's,30k-60k,Suburban,Interacted,3.4,3.9,4.6,3.1,3.7,2.3,3.2
467,18-30,Bachelor's,30k-60k,Suburban,Seen,3.9,3.5,4.1,3.3,3.6,2.4,3.1
468,18-30,Bachelor's,<30k,Rural,Seen,3.2,3.1,4.6,2.8,3.8,3.2,2.7
469,18-30,Some College,>150k,Suburban,Seen,3.9,4.1,3.6,3.0,3.7,2.7,3.4
470,18-30,Some College,60k-100k,Suburban,None,4.2,2.3,4.2,2.9,3.4,2.5,3.1
471,18-30,Graduate Degree,30k-60k,Suburban,Seen,2.6,2.5,4.9,2.9,4.4,2.9,3.9
472,18-30,High School,<30k,Urban,None,3.9,2.2,5.0,2.9,4.1,3.1,2.6
473,18-30,High School,>150k,Suburban,None,5.0,3.5,4.1,3.6,3.6,3.0,2.4
474,18-30,Some College,60k-100k,Urban,Interacted,3.3,3.2,4.2,2.7,4.3,3.0,3.6
475,18-30,Bachelor's,100k-150k,Urban,Seen,3.8,2.7,4.5,2.9,3.6,3.8,2.3
476,18-30,Graduate Degree,30k-60k,Suburban,Interacted,4.3,4.7,4.9,3.5,4.0,2.7,3.7
477,18-30,Some College,<30k,Suburban,Seen,4.2,3.0,4.3,3.0,4.1,2.7,4.1
478,18-30,Some College,<30k,Suburban,Interacted,4.4,3.8,4.3,3.8,3.8,2.5,2.8
479,18-30,Bachelor's,30k-60k,Suburban,Interacted,4.4,4.4,3.6,3.6,3.4,2.9,2.4
480,18-30,Bachelor's,60k-100k,Rural,Interacted,3.0,3.8,4.6,3.0,3.6,3.5,2.7
481,18-30,High School,30k-60k,Urban,Interacted,3.4,3.4,3.6,2.5,3.8,2.9,3.2
482,18-30,Bachelor's,30k-60k,Urban,Seen,4.9,3.5,4.3,3.4,4.2,3.1,2.9
483,18-30,Some College,100k-150k,Rural,Seen,4.4,3.7,4.4,3.4,4.2,2.5,2.8
484,18-30,Bachelor's,60k-100k,Urban,None,3.8,3.1,3.6,3.5,4.0,3.3,3.3
485,18-30,Some College,30k-60k,Urban,Interacted,3.0,3.6,4.2,4.1,3.9,3.6,3.2
486,18-30,Bachelor's,<30k,Rural,Interacted,4.2,4.1,4.1,2.7,3.9,2.1,3.4
487,18-30,Graduate Degree,60k-100k,Suburban,None,3.1,3.3,3.9,3.3,4.9,3.8,2.9
488,18-30,High School,60k-100k,Urban,None,2.8,3.3,4.0,2.4,4.5,2.5,3.4
489,18-30,Bachelor's,100k-150k,Urban,Interacted,3.1,3.3,4.3,3.6,3.8,2.3,3.2
490,18-30,Some College,100k-150k,Rural,Seen,3.8,4.0,4.3,3.4,3.9,1.6,3.4
491,18-30,Some College,30k-60k,Suburban,Seen,4.1,3.5,4.0,3.7,3.8,1.8,2.2
492,18-30,Some College,<30k,Urban,None,4.2,2.4,4.9,3.0,4.0,2.7,2.4
493,18-30,Bachelor's,30k-60k,Urban,Interacted,3.6,4.0,4.2,3.3,3.5,2.4,3.8
494,18-30,High School,30k-60k,Suburban,Seen,4.0,3.4,3.7,3.5,2.9,3.1,2.6
495,18-30,Some College,60k-100k,Urban,Seen,4.1,4.0,4.2,2.4,4.2,2.7,2.1
496,18-30,Graduate Degree,30k-60k,Suburban,None,3.4,2.7,4.8,3.4,4.2,1.8,3.0
497,18-30,Some College,100k-150k,Suburban,Seen,4.9,3.4,4.1,2.7,4.0,3.1,2.9
498,18-30,Graduate Degree,100k-150k,Urban,None,4.7,4.7,4.1,1.8,5.0,3.1,3.1
499,18-30,High School,<30k,Urban,Interacted,3.1,2.9,3.9,3.3,3.8,2.9,2.5
500,18-30,Some College,30k-60k,Rural,None,2.8,3.1,3.8,3.2,3.6,4.3,3.7
501,18-30,High School,30k-60k,Suburban,Seen,3.5,3.6,4.0,3.0,4.2,3.1,2.6
502,18-30,Bachelor's,100k-150k,Rural,Seen,3.2,4.1,3.8,2.7,4.1,3.1,2.8
503,18-30,Graduate Degree,60k-100k,Urban,Seen,3.0,3.8,3.7,2.3,3.9,2.5,2.9
504,18-30,Bachelor's,<30k,Urban,Interacted,3.4,3.0,3.9,2.6,3.7,3.1,3.5
505,18-30,High School,60k-100k,Urban,Interacted,2.9,3.7,4.9,2.2,4.0,3.2,2.8
506,18-30,Bachelor's,100k-150k,Rural,Seen,4.2,3.3,4.7,3.9,4.1,3.1,3.7
507,18-30,Bachelor's,<30k,Suburban,None,4.5,3.9,3.9,2.6,3.9,2.7,4.1
508,18-30,High School,<30k,Suburban,None,4.3,3.3,4.4,3.1,4.5,3.3,2.3
509,18-30,High School,60k-100k,Suburban,None,3.4,3.9,3.6,3.5,4.4,2.6,3.2
510,18-30,Bachelor's,30k-60k,Suburban,Seen,3.5,2.8,4.4,3.0,4.4,2.8,3.3
511,18-30,Graduate Degree,30k-60k,Suburban,Seen,3.2,2.9,4.0,3.5,4.0,2.6,3.5
512,18-30,Bachelor's,30k-60k,Urban,None,4.1,2.2,2.8,2.4,3.2,3.5,3.1
513,18-30,Bachelor's,30k-60k,Urban,Seen,3.5,4.9,4.3,3.2,4.8,3.3,3.0
514,18-30,Some College,<30k,Urban,Seen,4.4,5.0,4.5,3.0,4.2,2.5,3.0
515,18-30,High School,60k-100k,Urban,Seen,4.8,3.6,4.1,2.4,3.4,2.4,3.7
516,18-30,High School,30k-60k,Rural,None,3.9,3.0,4.8,3.9,4.3,2.8,2.9
517,18-30,Graduate Degree,>150k,Suburban,Interacted,3.6,2.5,4.5,3.1,3.7,2.9,2.2
518,18-30,Bachelor's,30k-60k,Urban,None,4.4,3.7,3.4,3.7,3.9,2.2,3.6
519,18-30,Graduate Degree,100k-150k,Suburban,Seen,5.0,3.4,4.0,3.1,3.8,2.0,3.5
520,18-30,Bachelor's,<30k,Urban,None,4.7,3.4,4.7,3.5,4.4,1.8,3.0
521,18-30,Bachelor's,100k-150k,Urban,Seen,3.5,2.7,4.0,3.5,4.0,1.8,3.5
522,18-30,Some College,30k-60k,Rural,Seen,2.9,3.0,4.0,3.1,4.7,2.8,3.1
